id,province_id,name,slug,lat,long
192,4,کمه,komeh,31.064403,51.594608
193,4,کهریزسنگ,kahrizsang,32.632957,51.476637
194,4,کوشک,keveshk,32.640169,51.499588
195,4,کوهپایه,kuhpayeh,32.707858,52.453622
196,4,گرگاب,gorgab,32.867170,51.596303
197,4,گزبرخوار,gazborkhar,32.809240,51.617760
198,4,گلپایگان,golpayegan,33.4572376,50.2708143
199,4,گلدشت,goldasht,32.629645,51.445745
200,4,گلشهر,golshahr,33.506583,50.462866
201,4,گوگد,gugad,33.475607,50.353678
202,4,لای بید,lay-bid,33.457984,50.695295
203,4,مبارکه,mobarakeh,32.34638900,51.50444400
204,4,مجلسی,majlesi,32.194678,51.498198
205,4,محمدآباد,isfahan-mohammad-abad,32.319349,52.111127
206,4,مشکات,mashkat,34.188183,51.285424
207,4,منظریه,manzariyeh,31.946390,51.874137
208,4,مهاباد,isfahan-mahabad,33.529410,52.220485
209,4,میمه,isfahan-meymeh,33.4476373,51.1716107
210,4,نائین,naein,32.85994450,53.08783210
211,4,نجف آباد,najaf-abad,32.63242310,51.36799140
212,4,نصرآباد,isfahan-nasrabad,32.280112,52.060454
213,4,نطنز,natanz,33.51333300,51.91638900
214,4,نوش آباد,nush-abad,34.079855,51.435542
215,4,نیاسر,niyasar,33.977706,51.154618
216,4,نیک آباد,nik-abad,32.304580,52.199178
217,4,هرند,harand,32.566113,52.435254
218,4,ورزنه,varzaneh,32.417421,52.651826
219,4,ورنامخواست,varnamkhast,32.355347,51.376694
220,4,وزوان,vezvan,33.417615,51.183071
221,4,ونک,vanak,31.527620,51.329398
222,5,اسارا,asara,36.037170,51.194819
223,5,اشتهارد,eshtehard,35.721785,50.366703
224,5,تنکمان,tankaman,35.891266,50.615355
225,5,چهارباغ,chaharbagh,35.840533,50.848031
226,5,سعید آباد,said-abad,35.910603,50.770612
227,5,شهر جدید هشتگرد,shahr-jadid-hashtgerd,35.989523,50.727782
228,5,طالقان,taleqan,36.1748119,50.7650328
229,5,کرج,karaj,35.84001880,50.93909060
230,5,کمال شهر,kamal-shahr,35.880446,50.872106
231,5,کوهسار,kuhsar,35.961662,50.791576
232,5,گرمدره,garmdareh,35.752394,51.066470
233,5,ماهدشت,mahdasht,35.725564,50.807046
234,5,محمدشهر,alborz-mohammadshahr,35.754024,50.905065
235,5,مشکین دشت,meshkin-dasht,35.747897,50.943002
236,5,نظرآباد,nazarabad,35.9725666,50.6067771
237,5,هشتگرد,hashtgerd,35.960719,50.687399
1117,5,فردیس,fardis,35.736601,50.958216
1118,5,مارلیک,marlik,35.696704,50.968194
1135,5,کردان,kordan,35.9358340088272,50.8158016204834
1137,5,ساوجبلاغ,savojbolagh,35.9293707150663,50.8704757690429
1138,5,تهران دشت,tehran-dasht,35.9128278365719,50.7073974609375
238,6,ارکواز,arkavaz,33.387447,46.593640
239,6,ایلام,ilam,33.6349736,46.415281
240,6,ایوان,eyvan,33.82722200,46.30972200
241,6,آبدانان,abdanan,32.994264,47.420382
242,6,آسمان آباد,aseman-abad,33.852609,46.462111
243,6,بدره,badreh,33.306411,47.036977
244,6,پهله,pahleh,33.011101,46.883908
245,6,توحید,towhid,33.727409,47.067146
246,6,چوار,chovar,33.695655,46.297631
247,6,دره شهر,dareh-shahr,33.1438981,47.3828959
248,6,دلگشا,delgosha,33.406546,46.594327
249,6,دهلران,dehloran,32.69416700,47.26777800
250,6,زرنه,zarneh,33.928708,46.183262
251,6,سراب باغ,sarab-bagh,32.898704,47.572989
252,6,سرابله,sarableh,33.767989,46.565404
253,6,صالح آباد,ilam-saleh-abad,33.470684,46.188025
254,6,لومار,lowmar,33.569451,46.810759
255,6,مهران,mehran,33.1176653,46.1732921
256,6,مورموری,murmuri,32.726479,47.676158
257,6,موسیان,musian,32.519803,47.376512
258,6,میمه,ilam-meymeh,33.228209,46.919839
259,7,امام حسن,imam-hasan,29.837507,50.263188
260,7,انارستان,anarestan,28.032648,52.063887
261,7,اهرم,ahram,28.884114,51.275618
262,7,آب پخش,ab-pakhsh,29.366763,51.070032
263,7,آبدان,abdan,28.077508,51.770904
264,7,برازجان,borazjan,29.269284,51.216502
265,7,بردخون,bordkhun,28.031095,51.457150
266,7,بندردیر,bandar-dayyer,27.843479,51.936609
267,7,بندردیلم,bandar-deylam,30.060303,50.163252
268,7,بندرریگ,bandar-rig,29.485289,50.630848
269,7,بندرکنگان,bandar-kangan,27.833812,52.073982
270,7,بندرگناوه,bandar-ganaveh,29.583560,50.512003
271,7,بنک,banak,27.863435,52.016144
272,7,بوشهر,bushehr,28.92338370,50.82031400
273,7,تنگ ارم,tange-eram,29.152236,51.528196
274,7,جم,jam,27.8122053,52.3507118
275,7,چغادک,choghadak,28.983428,51.021653
276,7,خارک,khark,29.2601804,50.3288332
277,7,خورموج,khormoj,28.652324,51.383228
278,7,دالکی,dalaki,29.430197,51.291035
279,7,دلوار,delvar,28.754527,51.067886
280,7,ریز,riz,28.052363,52.072127
281,7,سعدآباد,saadabad,29.386886,51.118226
282,7,سیراف,siraf,27.668780,52.343545
283,7,شبانکاره,shabankareh,29.470517,50.990682
284,7,شنبه,shanbeh,28.396317,51.762836
285,7,عسلویه,asaluyeh,27.475912,52.612603
286,7,کاکی,kaki,28.341930,51.521373
287,7,کلمه,koleme,28.940626,51.459671
288,7,نخل تقی,nakhl-taghi,27.501354,52.584626
289,7,وحدتیه,vahdatiyeh,29.486601,51.235556
332,9,اردل,ardal,31.9946467,50.6482601
333,9,آلونی,aloni,31.553159,51.059378
334,9,باباحیدر,babaheydar,32.329678,50.468359
335,9,بروجن,borujen,31.96527800,51.28722200
336,9,بلداجی,boldaji,31.938597,51.053295
337,9,بن,ben,32.540156,50.745163
338,9,جونقان,junaqan,32.151307,50.685232
339,9,چلگرد,chelgerd,32.463308,50.129642
340,9,سامان,saman,32.450072,50.911181
341,9,سفیددشت,sefiddasht,32.132594,51.182985
342,9,سودجان,sudejan,32.521939,50.399587
343,9,سورشجان,surshjan,32.316585,50.677872
344,9,شلمزار,shalamzar,32.047024,50.816982
345,9,شهرکرد,shahrekord,32.32555600,50.86444400
346,9,طاقانک,taqanak,32.217908,50.834728
347,9,فارسان,farsan,32.2582062,50.5705082
348,9,فرادنبه,faradonbeh,32.009528,51.218347
349,9,فرخ شهر,farrokh-shahr,32.273373,50.977420
350,9,کیان,kiyan,32.285300,50.893221
351,9,گندمان,gandoman,31.863122,51.156163
352,9,گهرو,gahru,32.008820,50.886633
353,9,لردگان,lordegan,31.51027800,50.82944400
354,9,مال خلیفه,mal-khalifeh,31.290250,51.262915
355,9,ناغان,naghan,31.934904,50.728580
356,9,نافچ,nafch,32.423623,50.789237
357,9,نقنه,naqneh,31.934317,51.329627
358,9,هفشجان,hafshejan,32.224116,50.767478
359,10,ارسک,aresk,33.702438,57.372858
360,10,اسدیه,asadiyeh,32.913729,60.021808
361,10,اسفدن,esfeden,33.645456,59.778671
362,10,اسلامیه,eslamiyeh,34.045970,58.221788
363,10,آرین شهر,aryan-shahr,33.331783,59.234580
364,10,آیسک,ayask,33.887410,58.381948
365,10,بشرویه,boshruyeh,33.864033,57.425666
366,10,بیرجند,birjand,32.86490390,59.22624720
367,10,حاجی آباد,south-khorasan-haji-abad,33.603824,59.999642
368,10,خضری دشت بیاض,khezri-dasht-beyaz,34.021794,58.817282
369,10,خوسف,khosf,32.782979,58.893070
370,10,زهان,zahan,33.423150,59.811845
371,10,سرایان,sarayan,33.86027800,58.52166700
372,10,سربیشه,sarbisheh,32.57555600,59.79833300
373,10,سه قلعه,seh-qaleh,33.667532,58.395810
374,10,شوسف,shusf,31.804132,60.008418
375,10,طبس ,south-khorasan-tabas,33.607960,56.935872
376,10,فردوس,ferdows,34.01861100,58.17222200
377,10,قاین,qaen,33.72666700,59.18444400
378,10,قهستان,qohestan,33.152299,59.716015
379,10,محمدشهر,south-khorasan-mohammdshahr,32.7810773,58.8919756
380,10,مود,mud,32.708857,59.525658
381,10,نهبندان,nehbandan,31.54194400,60.03638900
382,10,نیمبلوک,nimboluk,33.911819,58.931952
383,11,احمدآباد صولت,ahmadabad-sowlat,35.115696,60.688906
384,11,انابد,anabad,35.250893,57.808492
385,11,باجگیران,bajgiran,37.620928,58.419811
386,11,باخرز,bakharz,34.995619,60.315370
387,11,بار,bar,36.491068,58.718501
388,11,بایگ,bayk,35.374353,59.040012
389,11,بجستان,bajestan,34.522056,58.1722078
390,11,بردسکن,bardaskan,35.2617507,57.973082
391,11,بیدخت,beydokht,34.347118,58.764313
392,11,تایباد,taybad,34.74000000,60.77555600
393,11,تربت جام,torbat-jam,35.24388900,60.62250000
394,11,تربت حیدریه,torbat-heydariyeh,35.27388900,59.21944400
395,11,جغتای,joghatay,36.6409448,57.0759487
396,11,جنگل,jangal,34.7031384,59.2219037
397,11,چاپشلو,chapeshlu,37.350667,59.078707
398,11,چکنه,chekeneh,36.815872,58.507218
399,11,چناران,chenaran,36.6415861,59.1213959
400,11,خرو,kharv,36.154707,59.015843
401,11,خلیل آباد,khalil-abad,35.2531081,58.2890046
402,11,خواف,khaf,34.57638900,60.14083300
403,11,داورزن,davarzan,36.351095,56.883452
404,11,درگز,dargaz,37.4454811,59.1099161
405,11,در رود,dar-rud,36.13942,59.11718
406,11,دولت آباد,khorasan-razavi-dowlat-abad,36.437975,59.166655
407,11,رباط سنگ,robat-sang,35.547765,59.195623
408,11,رشتخوار,roshtkhar,34.97472200,59.62361100
409,11,رضویه,razaviyeh,36.2093771,59.7704315
410,11,روداب,rudab,36.023140,57.313871
411,11,ریوش,riyush,35.478161,58.456118
412,11,سبزوار,sabzevar,36.21518230,57.66782280
413,11,سرخس,sarakhs,36.54500000,61.15777800
414,11,سفیدسنگ,sefidsang,35.661711,60.094708
415,11,سلامی,salami,34.745244,59.978571
416,11,سلطان آباد,soltan-abad,36.147665,58.866656
417,11,سنگان,sangan,34.401242,60.260095
418,11,شادمهر,shadmehr,35.172194,59.037652
419,11,شاندیز,shandiz,36.396335,59.307901
420,11,ششتمد,sheshtamad,35.961575,57.767443
421,11,شهرآباد,shahrabad,35.149213,57.937764
422,11,شهرزو,shahrezu,36.748547,59.932480
423,11,صالح آباد,khorasan-razavi-saleh-abad,36.623708,60.062245
424,11,طرقبه,torghabeh,36.3114596,59.382906
425,11,عشق آباد,khorasan-razavi-eshq-abad,36.0441889,58.6844409
426,11,فرهادگرد,farhadgerd,35.766763,59.733610
427,11,فریمان,fariman,35.7017904,59.8468423
428,11,فیروزه,firuzeh,36.282438,58.585710
429,11,فیض آباد,feyz-abad,35.0144726,58.7774287
430,11,قاسم آباد,qasem-abad,35.910151,58.580411
431,11,قدمگاه,ghadamgah,36.111201,59.055152
432,11,قلندرآباد,qalandarabad,35.599351,59.944837
433,11,قوچان,quchan,37.1293332,58.4744185
434,11,کاخک,kakhk,34.147505,58.647487
435,11,کاریز,kariz,34.813501,60.824647
436,11,کاشمر,kashmar,35.23833300,58.46555600
437,11,کدکن,kadkan,35.587631,58.879080
438,11,کلات,kalat,34.19833300,58.54444400
439,11,کندر,kondor,35.212526,58.151321
440,11,گلمکان,golmakan,36.482450,59.159017
441,11,گناباد,gobabad,34.35277800,58.68361100
442,11,لطف آباد,lotf-abad,36.177375,58.732545
443,11,مزدآوند,mazdavand,36.156440,60.530280
444,11,مشهد,mashhad,36.26046230,59.61675490
445,11,ملک آباد,molk-abad,35.993874,59.582033
446,11,نشتیفان,nashtifan,34.435334,60.179350
447,11,نصرآباد,khorasan-razavi-nasrabad,34.817476,59.824955
448,11,نقاب,neqab,36.705841,57.419507
449,11,نوخندان,nokhandan,37.519222,58.989716
450,11,نیشابور,neyshabur,36.21408650,58.79609150
451,11,نیل شهر,nil-shahr,35.125591,60.773317
452,11,همت آباد,hemmat-abad,36.354017,59.665289
453,11,یونسی,yunesi,34.805088,58.439668
1150,11,گلبهار,golbahar,36.56894223551145,59.172019958496094
1155,11,بینالود,binaloud,35.997451981,59.337501525
1188,11,روشناوند,rushnavand,34.4658063276885,58.9062881469726
454,12,اسفراین,esfarayen,37.0666838,57.4966908
