id,city_id,name,lat,long
6404,647,فرگاز,29.591608,52.498178
4091,647,فرهنگ شهر,29.65835,52.454803
4092,647,فرهنگیان,29.630434,52.505414
6308,647,قدوسی شرقی,29.628668,52.487598
4112,647,قدوسی غربی,29.639779,52.469729
6290,647,قصر دشت,29.64519,52.493841
4099,647,کاراندیش,29.614708,52.56364
4016,647,کوزه گری,29.87636,52.799425
4101,647,کوشکک,29.561083,52.65864
6344,647,کوی طلاب,29.599185,52.586329
6434,647,کوی ولیعصر,29.613699,52.496832
4114,647,گلدشت,29.562945,52.574145
7100,647,گویم,29.8098165845,52.402210235
6458,647,لاله,29.600019,52.517103
4123,647,معالی آباد,29.682061,52.463806
4126,647,ملاصدرا,29.62625740869,52.51975536346
4127,647,منصورآباد,29.695285207,52.484607696
6338,647,منطقه هوایی دوران,29.559123,52.585073
4132,647,میانرود,29.567996,52.48788
6500,647,نصرآباد,29.584464,52.64968
4135,647,نواب صفوی,29.572366,52.541542
4136,647,نیایش,29.665317,52.493781
6518,647,وزیرآباد,29.526306,52.624737
4139,647,هفت تنان,29.62733,52.566737
8158,712,آذر,34.632332,50.909249
4144,712,آزادگان,34.671793,50.89121
4145,712,امام خمینی,34.663216873638476,50.87978839874267
5724,712,امامزاده ابراهیم زندآباد,34.657683,50.858962
4146,712,انسجام,34.60385923902368,50.880560874938965
5802,712,باجک,34.657763,50.913284
4150,712,بلوار امین و ساحلی,34.625247,50.851681
5028,712,بلوار پیامبر اعظم,34.61992989389277,50.8906888961792
7238,712,بلوار سمیه,34.6293942302,50.8785438537
5053,712,بلوار غدیر,34.59619367728428,50.81708908081055
5025,712,بنیاد,34.598441,50.867208
4153,712,پانزده خرداد,34.605087,50.879783
5027,712,پردیسان,34.555341,50.814039
4155,712,توحید,34.635605,50.858942
5030,712,جمکران,34.585451,50.911825
5796,712,جمهوری اسلامی,34.638615,50.85439
5844,712,چهار مردان,34.637883,50.888896
8182,712,حرم,34.64079943983617,50.88000297546387
5035,712,خاکفرج,34.653854,50.882748
5766,712,خیابان اراک,34.644601,50.874428
4160,712,دانیال,34.60947549180879,50.87450981140137
5065,712,دورشهر,34.631318748661556,50.86888790130615
5039,712,رسالت,34.61284,50.885967
4163,712,زنبیل آباد,34.61002,50.863964
